Title,Location,Price,Area
                        Apartment Nieuwezijds Armsteeg                            ,            1012 NB Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,850 per month            ",52 m²
                        Apartment Stolwijkstraat                            ,            1059 XT Amsterdam (Hoofddorppleinbuurt)        ,"                €1,700 per month            ",50 m²
                        Apartment Overtoom                            ,            1054 JD Amsterdam (Helmersbuurt)        ,"                €2,500 per month            ",87 m²
                        House Leidsegracht                            ,            1017 NC Amsterdam (De Weteringschans)        ,"                €2,000 per month            ",120 m²
                        Apartment Montelbaanstraat                            ,            1011 EG Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,950 per month            ",52 m²
                        Apartment Rustenburgerstraat 133 HS                            ,            1073 EX Amsterdam (Nieuwe Pijp)        ,"                €2,450 per month            ",57 m²
                        House Herengracht 315                            ,            1016 AV Amsterdam (Grachtengordel-West)        ,"                €3,250 per month            ",170 m²
                        Apartment Brouwersgracht 75 G                            ,            1015 GC Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",138 m²
                        Apartment Belgiëplein 101                            ,            1066 RC Amsterdam (Sloter-/Riekerpolder)        ,"                €1,800 per month            ",88 m²
                        Apartment Schipluidenlaan                            ,            1062 HE Amsterdam (Westlandgracht)        ,"                €1,450 per month            ",39 m²
                        Apartment Distelweg                            ,            1031 HD Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,950 per month            ",48 m²
                        House Pythagorasstraat                            ,            1098 GB Amsterdam (Middenmeer)        ,"                €3,250 per month            ",106 m²
                        Apartment Ceintuurbaan                            ,            1074 CZ Amsterdam (Oude Pijp)        ,"                €3,250 per month            ",178 m²
                        Apartment Rijnsburgstraat                            ,            1059 AV Amsterdam (Hoofddorppleinbuurt)        ,"                €2,500 per month            ",90 m²
                        Apartment Javastraat                            ,            1094 HN Amsterdam (Indische Buurt West)        ,"                €1,750 per month            ",46 m²
                        Apartment Pieter Calandlaan                            ,            1060 TX Amsterdam (Middelveldsche Akerpolder)        ,"                €2,250 per month            ",96 m²
                        Apartment Marnixstraat 198 3                            ,            1016 TJ Amsterdam (Jordaan)        ,"                €2,850 per month            ",119 m²
                        Apartment Sloterkade 77 3                            ,            1058 HH Amsterdam (Hoofddorppleinbuurt)        ,"                €2,500 per month            ",85 m²
                        Apartment Herengracht                            ,            1015 BK Amsterdam (Grachtengordel-West)        ,"                €2,350 per month            ",60 m²
                        Apartment Lauriergracht 92 H                            ,            1016 RN Amsterdam (Jordaan)        ,"                €4,350 per month            ",150 m²
                        Apartment Herengracht                            ,            1016 BH Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",123 m²
                        Apartment Van Walbeeckstraat                            ,            1058 CX Amsterdam (Westindische Buurt)        ,"                €1,700 per month            ",59 m²
                        Apartment Admiraal De Ruijterweg 89 3                            ,            1056 ET Amsterdam (Geuzenbuurt)        ,"                €1,800 per month            ",63 m²
                        Apartment Crynssenstraat                            ,            1058 XX Amsterdam (Westindische Buurt)        ,"                €2,850 per month            ",90 m²
                        Apartment Sem Presserhof 93                            ,            1087 JE Amsterdam (IJburg West)        ,"                €2,200 per month            ",124 m²
                        Apartment Weteringschans 119 I                            ,            1017 SC Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",68 m²
                        Apartment Willem Parelstraat 288                            ,            1018 KZ Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,699 per month            ",43 m²
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",65 m²
                        Apartment Johannes Verhulststraat                            ,            1075 HB Amsterdam (Willemspark)        ,"                €5,850 per month            ",245 m²
                        Apartment Keizersgracht                            ,            1017 EB Amsterdam (Grachtengordel-Zuid)        ,"                €2,950 per month            ",84 m²
